Series,Model,Season_Label,Year,Forecast
Nigerseed,Holt,2022-23,2022,7871.8
Nigerseed,Holt,2023-24,2023,8529.6
Nigerseed,Holt,2024-25,2024,9187.4
Nigerseed,"ARIMA(1,1,0)",2022-23,2022,7055.4
Nigerseed,"ARIMA(1,1,0)",2023-24,2023,7122.4
Nigerseed,"ARIMA(1,1,0)",2024-25,2024,7158.2
Nigerseed,RandomForest,2022-23,2022,6799.8
Nigerseed,RandomForest,2023-24,2023,6799.8
Nigerseed,RandomForest,2024-25,2024,6799.8
Nigerseed,GradBoost,2022-23,2022,6930.0
Nigerseed,GradBoost,2023-24,2023,6930.0
Nigerseed,GradBoost,2024-25,2024,6930.0
Nigerseed,Ensemble,2022-23,2022,7871.8
Nigerseed,Ensemble,2023-24,2023,8529.6
Nigerseed,Ensemble,2024-25,2024,9187.4
Paddy (Common),Naive,2022-23,2022,1940.0
Paddy (Common),Naive,2023-24,2023,1940.0
Paddy (Common),Naive,2024-25,2024,1940.0
Paddy (Common),Drift,2022-23,2022,2037.5
Paddy (Common),Drift,2023-24,2023,2135.0
Paddy (Common),Drift,2024-25,2024,2232.5
Paddy (Common),Linear,2022-23,2022,2054.0
Paddy (Common),Linear,2023-24,2023,2143.8
Paddy (Common),Linear,2024-25,2024,2233.6
Paddy (Common),RidgePoly2,2022-23,2022,2048.5
Paddy (Common),RidgePoly2,2023-24,2023,2157.0
Paddy (Common),RidgePoly2,2024-25,2024,2274.1
Paddy (Common),CAGR,2022-23,2022,2076.2
Paddy (Common),CAGR,2023-24,2023,2185.7
Paddy (Common),CAGR,2024-25,2024,2301.0
Paddy (Common),Holt,2022-23,2022,2054.0
Paddy (Common),Holt,2023-24,2023,2143.8
Paddy (Common),Holt,2024-25,2024,2233.6
Paddy (Common),"ARIMA(1,1,0)",2022-23,2022,1999.8
Paddy (Common),"ARIMA(1,1,0)",2023-24,2023,2049.5
Paddy (Common),"ARIMA(1,1,0)",2024-25,2024,2090.8
Paddy (Common),RandomForest,2022-23,2022,1912.9
Paddy (Common),RandomForest,2023-24,2023,1912.9
Paddy (Common),RandomForest,2024-25,2024,1912.9
Paddy (Common),GradBoost,2022-23,2022,1940.0
Paddy (Common),GradBoost,2023-24,2023,1940.0
Paddy (Common),GradBoost,2024-25,2024,1940.0
Paddy (Common),Ensemble,2022-23,2022,2054.0
Paddy (Common),Ensemble,2023-24,2023,2143.8
Paddy (Common),Ensemble,2024-25,2024,2233.6
Paddy (Grade 'A'),Naive,2022-23,2022,1960.0
Paddy (Grade 'A'),Naive,2023-24,2023,1960.0
Paddy (Grade 'A'),Naive,2024-25,2024,1960.0
Paddy (Grade 'A'),Drift,2022-23,2022,2052.5
Paddy (Grade 'A'),Drift,2023-24,2023,2145.0
Paddy (Grade 'A'),Drift,2024-25,2024,2237.5
Paddy (Grade 'A'),Linear,2022-23,2022,2066.0
Paddy (Grade 'A'),Linear,2023-24,2023,2151.8
Paddy (Grade 'A'),Linear,2024-25,2024,2237.6
Paddy (Grade 'A'),RidgePoly2,2022-23,2022,2064.1
Paddy (Grade 'A'),RidgePoly2,2023-24,2023,2170.6
Paddy (Grade 'A'),RidgePoly2,2024-25,2024,2286.1
Paddy (Grade 'A'),CAGR,2022-23,2022,2085.3
Paddy (Grade 'A'),CAGR,2023-24,2023,2188.5
Paddy (Grade 'A'),CAGR,2024-25,2024,2296.8
Paddy (Grade 'A'),Holt,2022-23,2022,2066.0
Paddy (Grade 'A'),Holt,2023-24,2023,2151.8
Paddy (Grade 'A'),Holt,2024-25,2024,2237.6
Paddy (Grade 'A'),"ARIMA(1,1,0)",2022-23,2022,2021.6
Paddy (Grade 'A'),"ARIMA(1,1,0)",2023-24,2023,2074.2
Paddy (Grade 'A'),"ARIMA(1,1,0)",2024-25,2024,2119.3
Paddy (Grade 'A'),RandomForest,2022-23,2022,1932.9
Paddy (Grade 'A'),RandomForest,2023-24,2023,1932.9
Paddy (Grade 'A'),RandomForest,2024-25,2024,1932.9
Paddy (Grade 'A'),GradBoost,2022-23,2022,1960.0
Paddy (Grade 'A'),GradBoost,2023-24,2023,1960.0
Paddy (Grade 'A'),GradBoost,2024-25,2024,1960.0
Paddy (Grade 'A'),Ensemble,2022-23,2022,2066.0
Paddy (Grade 'A'),Ensemble,2023-24,2023,2151.8
Paddy (Grade 'A'),Ensemble,2024-25,2024,2237.6
Ragi,Naive,2022-23,2022,3377.0
Ragi,Naive,2023-24,2023,3377.0
Ragi,Naive,2024-25,2024,3377.0
Ragi,Drift,2022-23,2022,3746.2
Ragi,Drift,2023-24,2023,4115.5
Ragi,Drift,2024-25,2024,4484.8
Ragi,Linear,2022-23,2022,3929.4
Ragi,Linear,2023-24,2023,4264.6
Ragi,Linear,2024-25,2024,4599.8
Ragi,RidgePoly2,2022-23,2022,3797.2
Ragi,RidgePoly2,2023-24,2023,4106.7
Ragi,RidgePoly2,2024-25,2024,4424.0
Ragi,CAGR,2022-23,2022,4204.5
Ragi,CAGR,2023-24,2023,4778.2
Ragi,CAGR,2024-25,2024,5430.1
Ragi,Holt,2022-23,2022,3746.2
Ragi,Holt,2023-24,2023,4115.5
Ragi,Holt,2024-25,2024,4484.7
Ragi,"ARIMA(1,1,0)",2022-23,2022,3459.0
Ragi,"ARIMA(1,1,0)",2023-24,2023,3541.0
Ragi,"ARIMA(1,1,0)",2024-25,2024,3623.0
Ragi,RandomForest,2022-23,2022,3338.7
Ragi,RandomForest,2023-24,2023,3338.7
Ragi,RandomForest,2024-25,2024,3338.7
Ragi,GradBoost,2022-23,2022,3377.0
Ragi,GradBoost,2023-24,2023,3377.0
Ragi,GradBoost,2024-25,2024,3377.0
Ragi,Ensemble,2022-23,2022,3837.8
Ragi,Ensemble,2023-24,2023,4190.1
Ragi,Ensemble,2024-25,2024,4542.3
Rapeseed/Mustard,Naive,2022-23,2022,5050.0
Rapeseed/Mustard,Naive,2023-24,2023,5050.0
Rapeseed/Mustard,Naive,2024-25,2024,5050.0
Rapeseed/Mustard,Drift,2022-23,2022,5312.5
Rapeseed/Mustard,Drift,2023-24,2023,5575.0
Rapeseed/Mustard,Drift,2024-25,2024,5837.5
Rapeseed/Mustard,Linear,2022-23,2022,5230.0
Rapeseed/Mustard,Linear,2023-24,2023,5485.0
Rapeseed/Mustard,Linear,2024-25,2024,5740.0
Rapeseed/Mustard,RidgePoly2,2022-23,2022,5352.9
Rapeseed/Mustard,RidgePoly2,2023-24,2023,5778.8
Rapeseed/Mustard,RidgePoly2,2024-25,2024,6260.3
Rapeseed/Mustard,CAGR,2022-23,2022,5277.1
Rapeseed/Mustard,CAGR,2023-24,2023,5585.5
Rapeseed/Mustard,CAGR,2024-25,2024,5911.9
Rapeseed/Mustard,Holt,2022-23,2022,5230.0
Rapeseed/Mustard,Holt,2023-24,2023,5485.0
Rapeseed/Mustard,Holt,2024-25,2024,5740.0
Rapeseed/Mustard,"ARIMA(1,1,0)",2022-23,2022,5415.9
Rapeseed/Mustard,"ARIMA(1,1,0)",2023-24,2023,5750.7
Rapeseed/Mustard,"ARIMA(1,1,0)",2024-25,2024,6056.9
Rapeseed/Mustard,RandomForest,2022-23,2022,4905.3
Rapeseed/Mustard,RandomForest,2023-24,2023,4905.3
Rapeseed/Mustard,RandomForest,2024-25,2024,4905.3
Rapeseed/Mustard,GradBoost,2022-23,2022,5050.0
Rapeseed/Mustard,GradBoost,2023-24,2023,5050.0
Rapeseed/Mustard,GradBoost,2024-25,2024,5050.0
Rapeseed/Mustard,Ensemble,2022-23,2022,5253.5
Rapeseed/Mustard,Ensemble,2023-24,2023,5530.0
Rapeseed/Mustard,Ensemble,2024-25,2024,5788.8
Safflower,Naive,2022-23,2022,5441.0
Safflower,Naive,2023-24,2023,5441.0
Safflower,Naive,2024-25,2024,5441.0
Safflower,Drift,2022-23,2022,5776.2
Safflower,Drift,2023-24,2023,6111.5
Safflower,Drift,2024-25,2024,6446.8
Safflower,Linear,2022-23,2022,5924.8
Safflower,Linear,2023-24,2023,6231.2
Safflower,Linear,2024-25,2024,6537.6
